instance pathlad vf2 ri
si4_b03m_m400.01 0.0121716 0.00698296 0.0310538
si4_b03m_m400.07 0.00806788 0.00656238 0.0261255
si4_b03m_m400.02 0.00895502 0.00861186 0.0282989
si4_b03m_m400.06 0.0129026 0.00934745 0.0299296
si4_b03m_m400.05 0.00803627 0.00666616 0.10825
si2_r01_m600.01 NaN 3600.02 1155.56
si2_r01_m600.06 NaN 3600.02 3600.03
si2_r01_m600.09 NaN 3600.02 1190.75
si2_r01_m600.08 NaN 3600.02 1238.17
si2_r01_m600.04 NaN 3600.01 1035.94
si2_r01_m600.02 NaN 3600.02 3600.02
si2_r01_m600.00 NaN 3600.01 24.2461
si2_r01_m600.07 NaN 3600.01 3600.02
si2_r01_m600.03 NaN 3600.02 47.2691
si2_r01_m600.05 NaN 3600.01 3600.02
si4_m4Dr6_m256.01 0.00584335 0.00802618 0.0306395
si4_m4Dr6_m256.00 0.053328 0.00630229 0.0282424
si4_m4Dr6_m256.05 0.0316518 0.00631852 0.0314473
si4_m4Dr6_m256.08 0.0357201 0.00627606 0.0283499
si4_m4Dr6_m256.03 0.00655786 0.00819784 0.0287491
si4_m4Dr6_m256.06 0.022991 0.00787151 0.0273833
si4_m4Dr6_m256.09 0.0104366 0.00643084 0.027982
si4_m4Dr6_m256.07 0.127949 0.00677529 0.0426705
si4_m4Dr6_m256.02 0.0053645 0.00654133 0.0272532
si4_m4Dr6_m256.04 0.0627918 0.00761146 0.0288505
si2_b03m_m400.02 0.0091325 0.00632696 0.0266942
si2_b03m_m400.00 0.00825279 0.00654428 0.0312881
si2_b03m_m400.01 0.00981436 0.00813012 0.0741768
si2_b03m_m400.05 0.0062844 0.00690888 0.0331701
si2_b03m_m400.08 0.00681035 0.00653337 0.0274967
si2_b03m_m400.07 0.0085189 0.00657612 0.0283693
si2_b03m_m400.09 0.00752291 0.00812469 0.0354895
si2_b03m_m400.03 0.00702066 0.00613414 5.54715
si2_b03m_m400.04 0.00711967 0.00630598 0.0277214
si2_b03m_m400.06 0.0132517 0.00598743 12.8287
si2_b03m_m200.05 0.00484094 0.00613609 0.0307592
si2_b03m_m200.03 0.00446349 0.00518187 0.0306483
si2_b03m_m200.00 0.00623236 0.00605863 0.029257
si2_b03m_m200.08 0.00347454 0.00517052 0.0303393
si2_b03m_m200.06 0.00419943 0.00636125 0.0286674
si2_b03m_m200.02 0.00439325 0.00534053 0.0335204
si2_b03m_m200.09 0.00407928 0.0050419 0.0265679
si2_b03m_m200.04 0.00407421 0.00530489 0.0310275
si2_b03m_m200.01 0.00387071 0.00533458 0.0262847
si2_b03m_m200.07 0.00505653 0.00528271 0.0265494
si4_r001_m200.04 0.0147668 3600.01 0.0280736
si4_r001_m200.07 0.0160631 3600.01 0.0268464
si4_r001_m200.00 0.0140381 3600.01 177.393
si4_r001_m200.01 0.0187389 220.962 0.0304809
si4_r001_m200.03 0.0249379 3600.01 0.0268154
si4_r001_m200.06 0.0167491 3600.01 0.0268766
si4_r001_m200.05 0.0178152 3600.01 0.0276193
si4_r001_m200.08 0.0206397 3600.01 0.0261746
si4_r001_m200.09 0.05439 3600.01 0.0420312
si4_r001_m200.02 0.0175239 3600.01 0.0325885
si2_m4D_m256.08 0.0393344 0.00726662 0.0279126
si2_m4D_m256.03 0.0551137 0.00832089 0.025775
si2_m4D_m256.02 0.0218676 0.00572623 0.0271614
si2_m4D_m256.06 0.0360359 0.00675449 0.0277208
si2_m4D_m256.04 0.00806777 0.00694281 0.0276892
si2_m4D_m256.07 0.0184334 0.005601 0.0271501
si2_m4D_m256.01 0.036099 0.00617322 0.0261562
si2_m4D_m256.09 0.0278952 0.00624452 0.0275987
si2_m4D_m256.00 0.0327018 0.0076886 0.0277196
si2_m4D_m256.05 0.0587552 0.00576037 0.026104
si6_r01_m400.04 2052.38 3600.02 27.2022
si6_r01_m400.08 360.592 3600.01 1.51756
si6_r01_m400.07 620.447 3600.01 17.659
si6_r01_m400.06 548.479 3600.01 8.15596
si6_r01_m400.05 2373.57 3600.01 23.6556
si6_r01_m400.02 1430.96 3600.01 98.2186
si6_r01_m400.00 1166.25 3600.01 5.4301
si6_r01_m400.03 900.321 3600.01 59.6822
si6_r01_m400.01 391.135 3600.01 55.5468
si6_r01_m400.09 535.139 3600.01 23.6149
