instance fatanode-results/gss-20210111 fatanode-results/gss-cliques-20210111 fatanode-results/gss-cliques-cliquesup-20210111 fatanode-results/gss-cliques-cliquesup-locallyinjective-20210111 fatanode-results/gss-cliques-cliquesup-noninjective-20210111 fatanode-results/gss-cliques-locallyinjective-20210111 fatanode-results/gss-cliques-noninjective-20210111 fatanode-results/gss-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-20210111 fatanode-results/gss-count-cliques-20210111 fatanode-results/gss-count-cliques-locallyinjective-20210111 fatanode-results/gss-count-cliques-noninjective-20210111 fatanode-results/gss-count-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-locallyinjective-20210111 fatanode-results/gss-count-noninjective-20210111 fatanode-results/gss-count-noninjective-nosupplementals-20210111 fatanode-results/gss-locallyinjective-20210111 fatanode-results/gss-noninjective-20210111 fatanode-results/gss-noninjective-nosupplementals-20210111
si6_r001_m600.04 175 134 544 414 NaN 74 1538328 NaN 118 131 75 NaN NaN 61 NaN NaN 32 1652509 1333528
si6_r001_m600.05 186 132 485 381 6411 70 317 7730 121 132 62 NaN NaN 33 NaN NaN 53 7955 15838
si2_m4Dr2_m1296.05 67 103 291 152 141 68 97 76 NaN NaN NaN NaN NaN NaN NaN NaN 60 983 14296
si2_m4Dr2_m1296.09 123 101 211 205 1992 105 94 102235 NaN NaN NaN NaN NaN NaN NaN NaN 35 47 102452
si2_m4Dr2_m1296.02 454 147 510 158 294 72 64 2490 398855 353788 55577 NaN NaN 56103 NaN NaN 44 928 NaN
si2_m4Dr2_m1296.07 107 120 211 172 247 64 63 336720 74 101 63 NaN NaN 35 NaN NaN 35 45 334840
si2_m4Dr2_m1296.00 106 115 196 217 158 61 173 15100 NaN NaN NaN NaN NaN NaN NaN NaN 35 186 15098
si2_m4Dr2_m1296.06 70 142 166 646 294 606 191 NaN NaN NaN 3246340 NaN NaN 3373973 NaN NaN 682 136 NaN
si2_m4Dr2_m1296.08 71 172 216 236 284 103 197 7862 NaN NaN NaN NaN NaN NaN NaN NaN 62 1979 837419
si2_m4Dr2_m1296.01 85 172 185 2392 458 2195 1203 236088 296739 283836 46186 NaN NaN 46472 NaN NaN 2166 1158 235835
si2_m4Dr2_m1296.03 68 98 218 172 201 101 324 40714 3386116 3416332 503321 NaN NaN 505145 NaN NaN 37 248 40691
si2_m4Dr2_m1296.04 92 92 285 203 368746 64 479 85661 NaN NaN NaN NaN NaN NaN NaN NaN 57 333 85812
si4_b06m_m800.08 40 86 152 136 175 60 85 3412 19879 20150 7716 NaN NaN 7633 NaN NaN 24 75 262534
si4_b06m_m800.00 40 52 166 149 245 36 50 1259 46 94 59 NaN NaN 25 NaN NaN 24 30 NaN
si4_b06m_m800.06 68 87 224 155 158 36 53 32 1820 1789 716 NaN NaN 701 NaN NaN 39 528 3671
si4_b06m_m800.05 41 82 191 160 192 59 58 42 191 121 87 NaN NaN 50 NaN NaN 40 31 387
si4_b06m_m800.04 69 54 194 147 238 59 47 435 31359 30917 11399 NaN NaN 11403 NaN NaN 41 30 865
si4_b06m_m800.09 69 89 165 183 201 36 88 106 118362 119889 43536 NaN NaN 42414 NaN NaN 24 67 15652
si4_b06m_m800.01 43 94 197 174 2420 60 33 49 51 92 47 NaN NaN 27 NaN NaN 25 29 32
si4_b06m_m800.07 71 87 171 167 866 46 48 26 580 766 255 NaN NaN 343 NaN NaN 24 81 164
